,0
C1orf88,0.005058644246157704
RAB27B,0.0050983972669130925
HOXA7,0.005112157655522401
TDRD10,0.005135009158182283
NR0B2,0.005145726290084846
BEND5,0.005210883460628544
STK33,0.005228568316472591
MAPK4,0.0052579131513413166
LAMC2,0.005348753104060272
ERO1LB,0.00536129827920743
GLB1L2,0.005470674126038989
KCNK5,0.005477525203954996
GGTLC1,0.00548823313893107
GPR98,0.005498553312675251
C20orf114,0.005561865126508762
STOX1,0.005567737817914783
CRLF1,0.005589483765204398
PARM1,0.005654498757674451
RGN,0.005696457357295708
TFF3,0.005851638061892672
LOC145837,0.005862341677329746
HLA-DOB,0.005875794478762778
SLC6A15,0.006027546221459573
ATG9B,0.006038751374379345
SMPD3,0.006053817632160017
CCDC154,0.006080779824218163
EPHX3,0.006089116694334031
TMEM163,0.006143453272244108
B3GNT8,0.006164929221139452
IRF4,0.0062351707529706155
LDHD,0.006237261982238523
PIPOX,0.006283278347058393
PHYHD1,0.006294220640106441
SBK1,0.006363177228306342
DEGS2,0.006377351200483576
HPN,0.006405496864440455
ZMAT1,0.006460119919205298
C11orf16,0.0065298618115903935
IRX3,0.006649554136305222
HLA-DPB2,0.006680430983226591
C1orf230,0.006705125434679964
FAM40B,0.006951092095833835
F2,0.007048184537235935
AMY2B,0.007051697376692101
KLK8,0.007079570563916989
CES3,0.007138776572749071
MEI1,0.007288604420841943
CAPN12,0.007337910486174372
LOC283174,0.00742631901751468
NAV3,0.007453696875490465
PTX3,0.00753975129782526
KIF19,0.007541780925827494
UCA1,0.007610289708541076
PRSS45,0.007634472033783638
C3orf72,0.0077139082915269235
TG,0.007748043552303738
KRT40,0.007891549354142975
ABCC2,0.008041627036381541
WBSCR26,0.008108635695016955
CD79A,0.00813917227857689
KYNU,0.008145600691114379
PAPL,0.00816193741935623
LOC151174,0.008178770472252902
TMC5,0.008211725558986962
CAPN3,0.008284067493825677
ASCL2,0.008312099308158741
STK32A,0.008320635052131726
TM4SF20,0.008340098471396575
HSPB9,0.00836423778665697
BIRC3,0.008441615246583213
TMEM130,0.00846036636456955
SERPINA6,0.008525567916171544
CES8,0.008529503287363191
MYOZ1,0.008585524147479371
SCML2,0.008653893536236426
C1orf127,0.008677723236190557
RAET1G,0.008765613290248761
TMPRSS4,0.008778729860743722
CYP17A1,0.008869505753676774
WFIKKN2,0.009067957466151728
FAM189A2,0.009143142254633953
SFTA2,0.009159932754357671
CD70,0.009229375398934559
CD19,0.009230716124519282
VGLL3,0.009244843219288725
NUP210L,0.009263560079121607
MYLK3,0.009370544590963707
MGAT5B,0.009450577434519564
WDR86,0.009490411812920976
PCDHB17,0.009538973674717543
NAPSB,0.009554734867282215
VWA2,0.009579365876286685
TRIM29,0.009591053507905121
LST-3TM12,0.009593110968447657
PKP2,0.009604222766243068
CLEC18B,0.009607583203068626
MPV17L,0.009650220600995147
SCN2A,0.009680849283703
FLRT2,0.009706172646352308
C12orf68,0.009803302373046486
PCP4L1,0.00981815275300612
RSPH9,0.009837848189083993
LTK,0.00986497755143555
BEX5,0.009890889572401144
TTLL2,0.00992066772352904
CPA4,0.009961299259463353
EFS,0.010009493277286318
CALB2,0.010041839571800212
PTPRR,0.010103008778354869
C1orf228,0.010125678343003054
RAP1GAP,0.01023836242452144
ALK,0.010283732676573254
LAMA3,0.010298892068255504
NSUN5P1,0.01039438725938411
TEPP,0.010418999978738607
SHCBP1,0.010495469446964797
ADM,0.010526861244734082
GGH,0.0105533312870297
TH,0.010556652986541947
POPDC3,0.010607684517405477
DNAH1,0.010624777530098523
DLEC1,0.010680660614098926
MGC45800,0.010735062564547105
SCNN1B,0.010764402547721636
NEFL,0.010856100363963127
C8orf80,0.010861912017625583
KCNV1,0.010895865994352938
LOC646851,0.010966229310808978
RNF183,0.010997544464089256
ARL14,0.011071958670103176
AQP3,0.011096369441684559
TM4SF19,0.01117761669256584
CYP2B7P1,0.011287856536195259
CD164L2,0.011298612638868869
GPRIN2,0.011329509183764717
ABCC8,0.011455514658080538
